CODIGO;Código Nuevo;NOMBRE;Región Codigo;Región Nombre;COMUNA;Nom. Comuna;SS Codigo;SS Nombre;Tipo de Establecimiento;Nivel de Atención;Nivel de Atención DEIS;Dependencia de Ejecución;Certificación;Hospital;Especialidad;ACTIVO;Vigente;Código Nuevo
29-588;129588;Posta de Salud Rural Santa Julia;9;De La Araucanía;09203;Curacautín;29;A. Norte;Posta de Salud Rural;Primario;Primario;Municipal;No Autogestionado;NO;No Especialidad;SI;SI;129588
29-011;129011;PRAIS (S.S Araucanía Norte);9;De La Araucanía;09201;Angol;29;A. Norte;0;No Aplica;No Aplica;Servicio de Salud;No Autogestionado;NO;No Especialidad;SI;SI;129011
29-803;129803;SAR Alemania;9;De La Araucanía;09201;Angol;29;A. Norte;0;Primario;Primario;Municipal;No Autogestionado;NO;No Especialidad;SI;SI;129803
29-237;129237;Vacunatorio Myrta Aravena Fuentes;9;De La Araucanía;09201;Angol;9;M. Norte;Vacunatorio;No Aplica;No Aplica;Privado;No Autogestionado;NO;No Especialidad;SI;SI;129237
21-600;121600;COSAM Amanecer;9;De La Araucanía;09101;Temuco;21;A. Sur;0;Secundario;Secundario;Servicio de Salud;No Autogestionado;NO;No Especialidad;SI;SI;121600
21-780;121780;Centro Comunitario de Salud Familiar Villa el Salar;9;De La Araucanía;09101;Temuco;21;A. Sur;0;Primario;Primario;Municipal;No Autogestionado;NO;No Especialidad;SI;SI;121780
21-781;121781;Centro Comunitario de Salud Familiar 21 de Mayo;9;De La Araucanía;09120;Villarrica;21;A. Sur;0;Primario;Primario;Municipal;No Autogestionado;NO;No Especialidad;SI;SI;121781
21-782;121782;Centro Comunitario de Salud Familiar Arquenco;9;De La Araucanía;09101;Temuco;21;A. Sur;0;Primario;Primario;Municipal;No Autogestionado;NO;No Especialidad;SI;SI;121782
21-783;121783;Centro Comunitario de Salud Familiar Los Volcanes;9;De La Araucanía;09120;Villarrica;21;A. Sur;0;Primario;Primario;Municipal;No Autogestionado;NO;No Especialidad;SI;SI;121783
21-784;121784;Centro Comunitario de Salud Familiar El Carmen;9;De La Araucanía;09101;Temuco;21;A. Sur;0;Primario;Primario;Servicio de Salud;No Autogestionado;NO;No Especialidad;SI;SI;121784
21-785;121785;Centro Comunitario de Salud Familiar San Antonio;9;De La Araucanía;09101;Temuco;21;A. Sur;0;Primario;Primario;Servicio de Salud;No Autogestionado;NO;No Especialidad;SI;SI;121785
21-786;121786;Centro Comunitario de Salud Familiar Ultraestación;9;De La Araucanía;09114;Pitrufquén;21;A. Sur;0;Primario;Primario;Municipal;No Autogestionado;NO;No Especialidad;SI;SI;121786
21-787;121787;Centro Comunitario de Salud Familiar Guacolda;9;De La Araucanía;09108;Lautaro;21;A. Sur;0;Primario;Primario;Municipal;No Autogestionado;NO;No Especialidad;SI;SI;121787
21-788;121788;Centro Comunitario de Salud Familiar Las Quilas;9;De La Araucanía;09101;Temuco;21;A. Sur;0;Primario;Primario;Municipal;No Autogestionado;NO;No Especialidad;SI;SI;121788
21-789;121789;Centro Comunitario de Salud Familiar Dr. Maximino Beltran Mora;9;De La Araucanía;09108;Lautaro;21;A. Sur;0;Primario;Primario;Municipal;No Autogestionado;NO;No Especialidad;SI;SI;121789
